Date,Region,Place,Trigger,Depth(m),Width (m),Vertical (m),Aspect,Elevation (m),Latitude,Longitude,Longitude (ALTERNATE)
02/02/13,Skyline,Niotche Creek,Snowmobiler,0.9144,60.9469697,152.3674242,Northeast,3169.242424,38.737013,-111.660018,248.339982
02/02/13,Uintas,Millcreek,Snowmobiler,0.3048,38.09185606,60.9469697,Southeast,3230.189394,40.865627,-110.707383,249.292617
02/02/13,Salt Lake,Eeeny Meeny Miny Moe,Skier,0.9144,60.9469697,609.469697,North,3016.875,40.604146,-111.707654,248.292346
02/02/13,Skyline,Seeley Creek,Snowmobiler,0.6096,30.47348485,91.42045455,East,3077.82197,39.509901,-111.296611,248.703389
02/01/13,Provo,Mill Canyon Peak,Unknown,0.6096,76.18371212,Unknown,North,2742.613636,40.496831,-111.568737,248.431263
02/01/13,Ogden,Weber Canyon,Natural,0.3048,12.18939394,304.7348485,North,1767.462121,41.133514,-111.886868,248.113132
02/01/13,Salt Lake,Mill B South,Unknown,0.762,91.42045455,182.8409091,Northeast,2986.401515,40.597988,-111.683578,248.316422
02/01/13,Skyline,Lake Canyon,Snowmobiler,0.762,91.42045455,30.47348485,East,2955.92803,39.589022,-111.302447,248.697553
02/01/13,Salt Lake,No Name Bowl,Unknown,0.381,53.32859848,Unknown,North,2925.454545,40.63401,-111.561935,248.438065
02/01/13,Salt Lake,No Name Bowl,Unknown,0.381,45.71022727,Unknown,North,2894.981061,40.63401,-111.561549,248.438451
02/01/13,Logan,Box Elder Peak,Natural,unknown,Unknown,Unknown,East,2742.613636,41.634498,-112.010851,247.989149
01/31/13,Salt Lake,Bear Trap,Skier,0.4572,18.28409091,24.37878788,Northwest,2376.931818,40.639481,-111.616695,248.383305
01/31/13,Salt Lake,Park City Ridgeline,Natural,0.6096,121.8939394,0,East,2986.401515,40.63063,-111.57011,248.42989
01/31/13,Skyline,Lake Canyon,Natural,0.4572,45.71022727,45.71022727,Northeast,2986.401515,39.601588,-111.306953,248.693047
01/31/13,Skyline,Skyline,Natural,#VALUE!,76.18371212,60.9469697,Northeast,2986.401515,39.606217,-111.288929,248.711071
01/30/13,Ogden,Willard Peak,Natural,unknown,121.8939394,533.2859848,East,2803.560606,41.380125,-111.972828,248.027172
01/30/13,Salt Lake,Reynolds Peak,Skier,0.9144,12.18939394,152.3674242,Northeast,2864.507576,40.662671,-111.646371,248.353629
01/30/13,Skyline,Pleasant Creek,Natural,0.6096,53.32859848,243.7878788,East,3108.295455,39.510994,-111.320171,248.679829
01/28/13,Salt Lake,Maybird Gulch,Skier,0.6096,60.9469697,152.3674242,North,2925.454545,40.5511,-111.7091,248.2909
01/28/13,Salt Lake,Back Bowls,Skier,0.9144,24.37878788,21.33143939,Northwest,2986.401515,40.593328,-111.597705,248.402295
01/28/13,Salt Lake,Back Bowls,Skier,0.0762,30.47348485,45.71022727,Northwest,3016.875,40.593067,-111.598091,248.401909
01/27/13,Salt Lake,Snake Creek,Snowboarder,0.2032,Unknown,91.42045455,Southeast,3077.82197,40.582736,-111.568995,248.431005
01/27/13,Salt Lake,West Desolation Ridge,Skier,0.3048,12.18939394,15.23674242,,2955.92803,40.655867,-111.602769,248.397231
01/26/13,Salt Lake,Red Pine Gulch,,0.3556,12.18939394,38.09185606,Northeast,2925.454545,40.546869,-111.697247,248.302753
01/26/13,Salt Lake,Red Baldy,Skier,0.3048,38.09185606,121.8939394,Northwest,2955.92803,40.550396,-111.666026,248.333974
01/26/13,Logan,First Dam,Natural,0.254,45.71022727,182.8409091,Northwest,1706.515152,41.74093,-111.785588,248.214412
01/25/13,Logan,Miller Bowl,Snowmobiler,0.3048,60.9469697,121.8939394,North,2620.719697,41.887007,-111.646028,248.353972
01/25/13,Ogden,North Ogden Divide,Natural,unknown,Unknown,Unknown,,Unknown,41.325006,-111.88983,248.11017
01/25/13,Logan,Logan Canyon,Unknown,0.3048,12.18939394,152.3674242,North,1828.409091,41.83184,-111.592426,248.407574
01/25/13,Skyline,Fairview Canyon,Unknown,0.3556,4.571022727,Unknown,North,2133.143939,39.63848,-111.380768,248.619232
01/25/13,Provo,Provo Canyon,Natural,0.3048,9.142045455,533.2859848,North,2224.564394,40.338203,-111.591868,248.408132
